school_code;school_name;la_code;local_authority;sector;governance;postcode;pupils;geom
6662068;LLANBISTER C.P. SCHOOL;666;Powys;Primary;Community;LD1 6TN;58;POINT (310832 273392.09)
6662070;YSGOL CEFNLLYS;666;Powys;Primary;Community;LD1 5WA;198;POINT (306380.5 261027.21)
6662075;PRESTEIGNE C.P. SCHOOL;666;Powys;Primary;Community;LD8 2NH;173;POINT (331081.1 264211.86)
6662076;RADNOR VALLEY C.P. SCHOOL;666;Powys;Primary;Community;LD8 2SS;48;POINT (321495.7 260762.47)
6662077;CROSSGATES C.P. SCHOOL;666;Powys;Primary;Community;LD1 6RE;145;POINT (308977.6 265003.44)
6662084;YSGOL DOLAFON;666;Powys;Primary;Community;LD5 4RA;41;POINT (287649.9 246731.38)
6662089;BUILTH WELLS C.P. SCHOOL;666;Powys;Primary;Community;LD2 3GA;238;POINT (303694 250807)
6662092;SENNYBRIDGE C.P. SCHOOL;666;Powys;Primary;Community;LD3 8RS;104;POINT (292186.6 228512.97)
6662113;CRICKHOWELL C.P. SCHOOL;666;Powys;Primary;Community;NP8 1DY;210;POINT (321598.6 219020.32)
6662116;HAY-ON-WYE C.P. SCHOOL;666;Powys;Primary;Community;HR3 5BT;185;POINT (322864.56 242126.42)
6662117;LLANGYNIDR C.P. SCHOOL;666;Powys;Primary;Community;NP8 1NY;101;POINT (315425 219374.72)
6662125;LLANFAES C.P. SCHOOL;666;Powys;Primary;Community;LD3 8EB;193;POINT (303936.9 228181.97)
6662127;YSGOL Y BANNAU;666;Powys;Primary;Community;LD3 9SR;94;POINT (305308 229122)
6662129;YSGOL RHIW BECHAN;666;Powys;Primary;Community;SY16 3EH;139;POINT (309732.6 298672.15)
6662146;LLANRHAEADR YM MOCHNANT C.P. SCHOOL;666;Powys;Primary;Community;SY10 0LG;84;POINT (312919.52 325765.3)
6662147;YSGOL BRO CYNLLAITH;666;Powys;Primary;Community;SY10 7QB;25;POINT (320999 328029.78)
6662148;YSGOL DAFYDD LLWYD;666;Powys;Primary;Community;SY16 1JE;211;POINT (310587.23 290882.82)
6662149;YSGOL Y CRIBARTH;666;Powys;Primary;Community;SA9 1XD;116;POINT (281641.38 212759)
6662150;YSGOL GOLWG Y CWM;666;Powys;Primary;Community;SA9 1SE;188;POINT (279708.6 210778.94)
6662151;YSGOL BRO TAWE;666;Powys;Primary;Community;SA9 1BU;206;POINT (277881.07 208967.02)
6662152;YSGOL GYMRAEG DYFFRYN Y GLOWYR;666;Powys;Primary;Community;SA9 2PT;348;POINT (277266.9 209904.21)
6662153;YSGOL Y MYNYDD DU ;666;Powys;Primary;Community;LD3 0DQ;91;POINT (315623.2 233865.62)
6662154;YSGOL GYMRAEG Y TRALLWNG;666;Powys;Primary;Community;SY21 7AT;114;POINT (322235 307959.5)
6662155;YSGOL CALON Y DDERWEN;666;Powys;Primary;Community;SY16 1EG;259;POINT (310605 291386)
6663000;LLANFECHAIN C.I.W. SCHOOL;666;Powys;Primary;Community;SY22 6UQ;45;POINT (318871 320321)
6663002;MONTGOMERY C.I.W. SCHOOL;666;Powys;Primary;Community;SY15 6QA;108;POINT (322435 296684)
6663016;FORDEN C.I.W. SCHOOL;666;Powys;Primary;Community;SY21 8NE;56;POINT (322903.5 301062.32)
6663021;LLANDYSILIO C.I.W. SCHOOL;666;Powys;Primary;Community;SY22 6RB;55;POINT (326947.4 318866.85)
6663026;GLADESTRY C.I.W. SCHOOL;666;Powys;Primary;Voluntary controlled;HR5 3NR;34;POINT (323284.1 255174.62)
6663030;YSGOL TREFONNEN CHURCH IN WALES COMMUNITY PRIMARY;666;Powys;Primary;Voluntary controlled;LD1 5EB;203;POINT (306279.25 261926.14)
6663031;NEWBRIDGE-ON-WYE CHURCH IN WALES SCHOOL;666;Powys;Primary;Community;LD1 6LD;104;POINT (301733.3 258072.42)
6663033;CLYRO C.I.W. SCHOOL;666;Powys;Primary;Voluntary controlled;HR3 5LE;71;POINT (321161 243405.05)
6663035;KNIGHTON CHURCH IN WALES PRIMARY SCHOOL;666;Powys;Primary;Community;LD7 1HP;168;POINT (329066.16 271966.63)
6663036;RHAYADER C.I.W. SCHOOL;666;Powys;Primary;Community;LD6 5LT;221;POINT (296918 268791)
6663037;LLANELWEDD CHURCH IN WALES PRIMARY SCHOOL;666;Powys;Primary;Voluntary controlled;LD2 3TY;94;POINT (304567.8 251784.05)
6663050;LLANGORS C.I.W. SCHOOL;666;Powys;Primary;Community;LD3 7TR;141;POINT (313261.15 227667.9)
6663051;WELSHPOOL CHURCH IN WALES PRIMARY SCHOOL;666;Powys;Primary;Voluntary controlled;SY21 7AT;264;POINT (322794.9 307042.32)
6663301;ST. MICHAEL'S C.I.W. SCHOOL;666;Powys;Primary;Voluntary aided;SY16 4NP;79;POINT (314842 290015)
6663303;LLANSANTFFRAID C.I.W.A.;666;Powys;Primary;Community;SY22 6AE;110;POINT (322221 320359)
6663317;ARCHDEACON GRIFFITHS C.I.W. PRIMARY SCHOOL;666;Powys;Primary;Voluntary aided;LD3 0YB;135;POINT (312883 238453.76)
6663318;PRIORY CHURCH IN WALES SCHOOL;666;Powys;Primary;Voluntary aided;LD3 9EU;143;POINT (304472.85 229116.01)
6663320;ST MARY`S R.C. (A) SCHOOL;666;Powys;Primary;Voluntary aided;SY16 2EH;61;POINT (310290.6 291684.72)
6663322;LLANGATTOCK C.I.W. SCHOOL;666;Powys;Primary;Voluntary aided;NP8 1PH;111;POINT (321014.6 217446.81)
6663323;YSGOL CWM BANWY;666;Powys;Primary;Community;SY21 0NW;46;POINT (300608.9 311495.35)
6664002;LLANIDLOES HIGH SCHOOL;666;Powys;Secondary;Community;SY18 6EX;703;POINT (295068.1 283798.97)
6664011;Newtown High School;666;Powys;Secondary;Community;SY16 1JE;896;POINT (310415 290776.61)
6664013;WELSHPOOL HIGH SCHOOL;666;Powys;Secondary;Community;SY21 7RE;816;POINT (323223 308147)
6664021;Ysgol Maesydderwen;666;Powys;Secondary;Community;SA9 1AP;513;POINT (278131 209290.9)
6664022;BRECON HIGH SCHOOL;666;Powys;Secondary;Community;LD3 9SR;557;POINT (304972.5 229026.4)
6664023;Gwernyfed High School;666;Powys;Secondary;Community;LD3 0SG;505;POINT (317609 237344)
6664024;Crickhowell High School;666;Powys;Secondary;Community;NP8 1AW;942;POINT (321531 218661.48)
6664025;Ysgol Calon Cymru;666;Powys;Secondary;Community;LD2 3BW;948;POINT (303807 251261.33)
6665500;Ysgol Bro Hyddgen;666;Powys;Middle;Community;SY20 8DR;441;POINT (274449.2 300625.26)
6665501;Ysgol Llanfyllin;666;Powys;Middle;Community;SY22 5BJ;775;POINT (314480 319060.2)
6665502;Ysgol Bro Caereinion;666;Powys;Middle;Community;SY21 0HW;494;POINT (310536.5 306780.38)
6672281;YSGOL GYMUNEDOL GYNRADD ABERAERON;667;Ceredigion;Primary;Community;SA46 0BQ;229;POINT (245490.46 262737.48)
6672291;YSGOL GYMUNEDOL LLANARTH;667;Ceredigion;Primary;Community;SA47 0PA;66;POINT (242165 257406)
6672293;YSGOL GYMUNEDOL LLANNON;667;Ceredigion;Primary;Community;SY23 5HX;41;POINT (251695.89 267002.15)
6672295;YSGOL GYMUNEDOL CEI NEWYDD;667;Ceredigion;Primary;Community;SA45 9TE;72;POINT (238942.06 259601.54)
6672298;YSGOL GYMUNEDOL TALGARREG;667;Ceredigion;Primary;Community;SA44 4ER;36;POINT (242634.7 251006.35)
6672299;YSGOL GYMRAEG ABERYSTWYTH;667;Ceredigion;Primary;Community;SY23 1HL;368;POINT (259233 281155)
6672303;YSGOL GYMUNEDOL COMINS COCH;667;Ceredigion;Primary;Community;SY23 3BQ;133;POINT (261418.84 282301.09)
6672308;YSGOL GYMUNEDOL LLANFARIAN;667;Ceredigion;Primary;Community;SY23 4DN;41;POINT (258728 277500)
6672309;YSGOL GYMUNEDOL LLANFIHANGEL-Y-CREUDDYN;667;Ceredigion;Primary;Community;SY23 4LA;16;POINT (266496.21 275988.45)
6672310;YSGOL GYMUNEDOL LLANGWYRYFON;667;Ceredigion;Primary;Community;SY23 4HA;25;POINT (259946.2 270572.94)
6672311;YSGOL LLANILAR;667;Ceredigion;Primary;Community;SY23 4PA;106;POINT (262397.51 275238.7)
6672312;YSGOL GYMUNEDOL MYNACH;667;Ceredigion;Primary;Community;SY23 4QZ;45;POINT (273658 276392.49)
6672313;YSGOL PENLLWYN;667;Ceredigion;Primary;Community;SY23 3LP;42;POINT (265188 280447)
6672314;YSGOL GYMUNEDOL LLWYN YR EOS;667;Ceredigion;Primary;Community;SY23 1SH;242;POINT (259368 280036)
6672315;YSGOL GYMUNEDOL SYR JOHN RHYS;667;Ceredigion;Primary;Community;SY23 3JX;15;POINT (274945.81 280943.69)
6672316;YSGOL GYMUNEDOL RHYDYPENNAU;667;Ceredigion;Primary;Community;SY24 5AD;194;POINT (262855 285628)
6672317;YSGOL GYMUNEDOL TALYBONT;667;Ceredigion;Primary;Community;SY24 5HE;57;POINT (265589 289599)
6672319;YSGOL GYMUNEDOL ABERPORTH;667;Ceredigion;Primary;Community;SA43 2DA;174;POINT (225655.49 251298.41)
6672323;YSGOL GYMUNEDOL LLECHRYD;667;Ceredigion;Primary;Community;SA43 2NL;54;POINT (221423 244094)
6672324;YSGOL GYMUNEDOL PENPARC;667;Ceredigion;Primary;Community;SA43 1SQ;103;POINT (222436.12 248461.42)
6672353;YSGOL GYMUNEDOL PONTRHYDFENDIGAID;667;Ceredigion;Primary;Community;SY25 6BL;53;POINT (273205 267226)
6672361;YSGOL GYMUNEDOL PLASCRUG;667;Ceredigion;Primary;Community;SY23 1HL;441;POINT (258959 281156)
6672362;YSGOL CRAIG YR WYLFA;667;Ceredigion;Primary;Community;SY24 5NJ;24;POINT (260646.27 288562.27)
6672363;YSGOL PENRHYNCOCH;667;Ceredigion;Primary;Community;SY23 3EH;115;POINT (264397.91 284173.85)
6672366;YSGOL GYMUNEDOL Y DDERI;667;Ceredigion;Primary;Community;SA48 8LY;99;POINT (260625 252980)
6672367;YSGOL GYMUNEDOL CENARTH;667;Ceredigion;Primary;Community;SA38 9JP;89;POINT (226654 241901)
6672368;YSGOL GYNRADD ABERTEIFI;667;Ceredigion;Primary;Community;SA43 1EH;379;POINT (218091 246232)
6672369;YSGOL BRO SION CWILT;667;Ceredigion;Primary;Community;SA44 6JZ;120;POINT (239993.99 254702.03)
6672371;YSGOL GYNRADD T LLEW JONES;667;Ceredigion;Primary;Community;SA44 6EA;166;POINT (232935.11 251044.81)
6672372;YSGOL RHOS HELYG;667;Ceredigion;Primary;Community;SY23 4TQ;55;POINT (262104 259861)
6673058;YSGOL WIRFODDOL MYFENYDD;667;Ceredigion;Primary;Voluntary controlled;SY23 5DW;84;POINT (254197 269896)
6673061;YSGOL GYNRADD DYFFRYN CLEDLYN;667;Ceredigion;Primary;Voluntary controlled;SA40 9SX;107;POINT (250203.03 245729.28)
6673318;ST PADARN'S ROMAN CATHOLIC PRIMARY SCHOOL;667;Ceredigion;Primary;Voluntary aided;SY23 1EZ;146;POINT (259002.03 281514.34)
6674042;GYFUN ABERAERON COMPREHENSIVE;667;Ceredigion;Secondary;Community;SA46 0DT;573;POINT (246087 262541)
6674044;Ysgol Uwchradd Aberteifi;667;Ceredigion;Secondary;Community;SA43 1AD;614;POINT (218136.14 246596.29)
6674047;Penglais School;667;Ceredigion;Secondary;Community;SY23 3AW;1120;POINT (260035 281748)
6674048;YSGOL GYFUN PENWEDDIG;667;Ceredigion;Secondary;Community;SY23 3QN;587;POINT (259458.55 281083.3)
6675500;Ysgol Bro Pedr;667;Ceredigion;Middle;Community;SA48 7BX;967;POINT (257495.58 247992.83)
6675501;Ysgol Henry Richard;667;Ceredigion;Middle;Community;SY25 6HG;387;POINT (267693.64 259583.42)
6675502;Ysgol Bro Teifi;667;Ceredigion;Middle;Community;SA44 4JL;861;POINT (240680.85 242099.95)
6682203;Sageston Community Primary School;668;Pembrokeshire;Primary;Community;SA70 8SH;116;POINT (205420 203340)
6682209;Ysgol Gynradd Gymunedol Eglwyswrw;668;Pembrokeshire;Primary;Community;SA41 3SN;90;POINT (214169 238434)
6682212;Ysgol Gymunedol Wdig / Goodwick Community School;668;Pembrokeshire;Primary;Community;SA64 0ET;110;POINT (194051 238205)
6682214;Fenton Community Primary School;668;Pembrokeshire;Primary;Community;SA61 1BZ;359;POINT (194812 215347)
6682220;Johnston Community Primary School;668;Pembrokeshire;Primary;Community;SA62 3PU;256;POINT (193991.59 210601.57)
6682222;Lamphey CP School;668;Pembrokeshire;Primary;Community;SA71 5NW;181;POINT (201625 200258)
6682223;Ysgol Gymunedol Brynconin;668;Pembrokeshire;Primary;Community;SA66 7SY;71;POINT (212227 221245)
6682228;Hook CP School;668;Pembrokeshire;Primary;Community;SA62 4ND;71;POINT (197861 211085)
6682231;Ysgol Llanychllwydog;668;Pembrokeshire;Primary;Community;SA65 9SE;29;POINT (203166 233948)
6682233;Ysgol Gymunedol Maenclochog;668;Pembrokeshire;Primary;Community;SA66 7LB;98;POINT (208273.91 227547.74)
6682242;Narberth Community Primary School;668;Pembrokeshire;Primary;Community;SA67 7FE;281;POINT (211632.81 214982.59)
6682243;Ysgol Bro Ingli;668;Pembrokeshire;Primary;Community;SA42 0TL;104;POINT (205810 239358)
6682250;Puncheston Community Primary School;668;Pembrokeshire;Primary;Community;SA62 5RL;76;POINT (200597 229734)
6682253;Ysgol Llandudoch;668;Pembrokeshire;Primary;Community;SA43 3ET;77;POINT (216375 246121)
6682254;Wolfscastle Communty Primary School;668;Pembrokeshire;Primary;Community;SA62 5LZ;50;POINT (195685 226641)
6682258;Saundersfoot Community Primary School;668;Pembrokeshire;Primary;Community;SA69 9HB;172;POINT (213541 205101)
6682260;Stepaside Community Primary School;668;Pembrokeshire;Primary;Community;SA68 0UG;119;POINT (212860 207239)
6682261;Templeton Community Primary School;668;Pembrokeshire;Primary;Community;SA67 8RS;126;POINT (211450 212135)
6682266;Tavernspite Community Primary School;668;Pembrokeshire;Primary;Community;SA34 0NL;208;POINT (218043 212547)
6682270;Ysgol Gymunedol Croesgoch;668;Pembrokeshire;Primary;Community;SA62 5JT;108;POINT (182706 230369)
6682271;Broad Haven CP School;668;Pembrokeshire;Primary;Community;SA62 3JT;105;POINT (186248 213442)
6682273;Roch Community School;668;Pembrokeshire;Primary;Community;SA62 6JU;126;POINT (187210 221468)
6682384;Coastlands CP School;668;Pembrokeshire;Primary;Community;SA62 3SZ;105;POINT (183625 207192)
6682385;Ysgol Clydau;668;Pembrokeshire;Primary;Community;SA35 0BE;35;POINT (223419 232903)
6682386;Pembroke Dock Community School;668;Pembrokeshire;Primary;Community;SA72 6LQ;607;POINT (197220 203179)
6682387;Monkton Priory Community Primary  School;668;Pembrokeshire;Primary;Community;SA71 4LS;200;POINT (197699 201510)
6682388;Golden Grove CP School;668;Pembrokeshire;Primary;Community;SA71 4DP;261;POINT (198857 201071)
6682389;Ysgol Glannau Gwaun;668;Pembrokeshire;Primary;Community;SA65 9DB;254;POINT (195371.57 237082.87)
6682391;Prendergast Community Primary School;668;Pembrokeshire;Primary;Community;SA61 2RB;446;POINT (196048.68 216349.58)
6682392;Pennar CP;668;Pembrokeshire;Primary;Community;SA72 6SL;214;POINT (196066 202859)
6682393;Neyland Community School;668;Pembrokeshire;Primary;Community;SA73 1TH;291;POINT (196287.37 205501.02)
6682395;Ysgol Hafan Y Mor;668;Pembrokeshire;Primary;Community;SA70 8BZ;236;POINT (212255 200902)
6682396;Milford Haven Community Primary School;668;Pembrokeshire;Primary;Community;SA73 2LQ;524;POINT (190728 206238)
6682397;Waldo Williams Primary School;668;Pembrokeshire;Primary;Community;SA61 1BS;228;POINT (194351 214996)
6683035;Cilgerran Church in Wales VC School;668;Pembrokeshire;Primary;Voluntary controlled;SA43 2SB;114;POINT (219284.45 242996.89)
6683036;Cosheston VC School;668;Pembrokeshire;Primary;Voluntary controlled;SA72 4UN;63;POINT (200001.82 203674.16)
6683040;Cleddau Reach VC School;668;Pembrokeshire;Primary;Voluntary controlled;SA62 4HJ;231;POINT (198695.25 209987.52)
6683042;Manorbier Church in Wales VC School;668;Pembrokeshire;Primary;Voluntary controlled;SA70 7SN;25;POINT (206809 198979)
6683050;Spittal Church in Wales VC School;668;Pembrokeshire;Primary;Voluntary aided;SA62 5QR;110;POINT (197348 223055)
6683055;St Florence Church in Wales VC School;668;Pembrokeshire;Primary;Voluntary controlled;SA70 8LY;72;POINT (208055 201225)
6683058;Ysgol Ger y Llan;668;Pembrokeshire;Primary;Voluntary controlled;SA62 5SL;101;POINT (193898.74 229417.73)
6683059;Tenby VC;668;Pembrokeshire;Primary;Voluntary controlled;SA70 8BZ;236;POINT (212317.58 200909.52)
6683060;Penrhyn Church in Wales VC School;668;Pembrokeshire;Primary;Voluntary controlled;SA71 5RD;72;POINT (195746.03 200255.89)
6683061;Gelliswick VC School;668;Pembrokeshire;Primary;Voluntary controlled;SA73 3RD;484;POINT (189022.67 205891.06)
6683311;Holy Name RC School;668;Pembrokeshire;Primary;Voluntary aided;SA65 9DF;126;POINT (195277 237332)
6683313;Mary Immaculate Catholic School;668;Pembrokeshire;Primary;Voluntary aided;SA61 1PH;213;POINT (194778 214897)
6683314;St Francis Catholic School;668;Pembrokeshire;Primary;Voluntary aided;SA73 2EE;141;POINT (190718 206523)
6683315;St Aidans Church in Wales VA School;668;Pembrokeshire;Primary;Voluntary aided;SA62 4PS;75;POINT (202106 218151)
6683319;St Teilos RC School;668;Pembrokeshire;Primary;Voluntary aided;SA70 7LJ;85;POINT (213088 200738)
6683320;St Marks Church in Wales VA School;668;Pembrokeshire;Primary;Voluntary aided;SA61 1JX;114;POINT (195294 214246)
6683321;St Oswalds Church in Wales VA School;668;Pembrokeshire;Primary;Voluntary aided;SA68 0SG;135;POINT (208482 206136)
6684031;Ysgol Bro Gwaun;668;Pembrokeshire;Secondary;Community;SA65 9DT;574;POINT (194956 237325)
6684035;Ysgol Greenhill School;668;Pembrokeshire;Secondary;Community;SA70 8BN;877;POINT (212484 200635)
6684038;Ysgol Harri Tudur / Henry Tudor School;668;Pembrokeshire;Secondary;Community;SA71 4RL;1152;POINT (198029.68 202557.58)
6684063;Milford Haven School;668;Pembrokeshire;Secondary;Community;SA73 1AE;1045;POINT (191299 207158)
6684512;Haverfordwest High VC School;668;Pembrokeshire;Secondary;Voluntary controlled;SA61 1EQ;1699;POINT (194512 215191)
6685500;Ysgol Caer Elen;668;Pembrokeshire;Middle;Community;SA62 4BN;907;POINT (196129.89 217498.8)
6685501;Ysgol Bro Preseli;668;Pembrokeshire;Middle;Community;SA41 3QH;932;POINT (218312 233486)
6685900;Ysgol Penrhyn Dewi;668;Pembrokeshire;Middle;Voluntary aided;SA62 6QH;606;POINT (179841.85 224549.27)
6692000;CEFNEITHIN;669;Carmarthenshire;Primary;Community;SA14 7DE;105;POINT (255472 213830)
6692001;Ysgol Gynradd Gymraeg Drefach;669;Carmarthenshire;Primary;Community;SA14 7AN;45;POINT (253007 213322)
6692003;Ysgol Gymraeg Llechyfedach;669;Carmarthenshire;Primary;Community;SA14 6DT;101;POINT (254738 211965)
6692006;Y TYMBL;669;Carmarthenshire;Primary;Community;SA14 6HR;112;POINT (253851 212051)
6692007;GORSLAS;669;Carmarthenshire;Primary;Community;SA14 6RS;206;POINT (256982 213637)
6692008;Ysgol Gynradd Gymraeg Cross Hands;669;Carmarthenshire;Primary;Community;SA14 6SU;127;POINT (255907 213019)
6692009;LLANGAIN;669;Carmarthenshire;Primary;Community;SA33 5AE;53;POINT (238233 215713)
6692014;PENIEL;669;Carmarthenshire;Primary;Community;SA32 7AB;112;POINT (243728.19 224158.64)
6692018;BANCFFOSFELEN;669;Carmarthenshire;Primary;Community;SA15 5DR;54;POINT (248799 212175)
6692019;GWYNFRYN;669;Carmarthenshire;Primary;Community;SA15 5SN;56;POINT (246563.06 209561.5)
6692020;CARWAY;669;Carmarthenshire;Primary;Community;SA17 4HE;59;POINT (246008 206586)
6692023;PONTIETS;669;Carmarthenshire;Primary;Community;SA15 5UB;24;POINT (247357 208240)
6692024;PONTHENRI;669;Carmarthenshire;Primary;Community;SA15 5NS;64;POINT (248018 209155)
6692034;BANCYFELIN;669;Carmarthenshire;Primary;Community;SA33 5ND;65;POINT (232511 218183)
6692037;MEIDRIM;669;Carmarthenshire;Primary;Community;SA33 5QN;31;POINT (229398.26 220835.87)
6692042;SARON;669;Carmarthenshire;Primary;Community;SA18 3LH;220;POINT (259650 211858)
6692043;BETWS;669;Carmarthenshire;Primary;Community;SA18 2HE;83;POINT (263201 211694)
6692044;TY-CROES;669;Carmarthenshire;Primary;Community;SA18 3QD;199;POINT (260568 210565)
6692050;PARCYRHUN;669;Carmarthenshire;Primary;Community;SA18 3HB;199;POINT (262484 211823)
6692052;BLAENAU;669;Carmarthenshire;Primary;Community;SA18 3BQ;39;POINT (260605 213753)
6692057;LLANEDI;669;Carmarthenshire;Primary;Community;SA4 0FB;21;POINT (258508 207532)
6692061;FFAIRFACH;669;Carmarthenshire;Primary;Community;SA19 6SY;69;POINT (262972 221514)
6692065;TALLEY;669;Carmarthenshire;Primary;Community;SA19 7YH;59;POINT (263988.87 232453.76)
6692067;CWRT HENRI;669;Carmarthenshire;Primary;Community;SA32 8RX;35;POINT (255579 223021)
6692080;LLANGADOG;669;Carmarthenshire;Primary;Community;SA19 9HP;103;POINT (270963 228341)
6692084;RHYS PRICHARD;669;Carmarthenshire;Primary;Community;SA20 0HY;212;POINT (276576.26 234789.05)
6692098;LLYS HYWEL;669;Carmarthenshire;Primary;Community;SA34 0QB;135;POINT (220167 216648)
6692104;BRYNSARON;669;Carmarthenshire;Primary;Community;SA44 5EB;51;POINT (237926 236555)
6692109;LLANPUMSAINT;669;Carmarthenshire;Primary;Community;SA33 6BY;33;POINT (241915 229039)
6692112;MYNYDDYGARREG;669;Carmarthenshire;Primary;Community;SA17 4RL;28;POINT (242884 208009)
6692114;JOHNSTOWN;669;Carmarthenshire;Primary;Community;SA31 3HS;443;POINT (239768 219503)
6692116;Y DDERWEN;669;Carmarthenshire;Primary;Community;SA31 1TG;358;POINT (240771 220575)
6692119;LLANMILOE;669;Carmarthenshire;Primary;Community;SA33 4TU;59;POINT (225772 209035)
6692120;BRYN;669;Carmarthenshire;Primary;Community;SA14 9TT;222;POINT (254209.68 200605.17)
6692121;BYNEA;669;Carmarthenshire;Primary;Community;SA14 9LT;202;POINT (254698 199488)
6692123;DAFEN;669;Carmarthenshire;Primary;Community;SA14 8LL;102;POINT (252363 201222)
6692128;PUM HEOL;669;Carmarthenshire;Primary;Community;SA15 5EZ;77;POINT (248864.51 205549.39)
6692131;HENDY;669;Carmarthenshire;Primary;Community;SA4 0XD;187;POINT (258454 203727)
6692135;FFWRNES;669;Carmarthenshire;Primary;Community;SA15 4DD;468;POINT (249697.74 201204.7)
6692159;OLD ROAD;669;Carmarthenshire;Primary;Community;SA15 3HW;116;POINT (250631 200912)
6692166;LLANSTEFFAN;669;Carmarthenshire;Primary;Community;SA33 5LN;8;POINT (235246 210746)
6692167;LLANNON;669;Carmarthenshire;Primary;Community;SA14 6AE;91;POINT (254212 208776)
6692168;BRYNSIERFEL;669;Carmarthenshire;Primary;Community;SA14 9HD;206;POINT (253680.54 200251)
6692169;BRYNAMAN;669;Carmarthenshire;Primary;Community;SA18 1AH;269;POINT (271781 214477)
6692171;MYRDDIN COMMUNITY PRIMARY SCHOOL;669;Carmarthenshire;Primary;Community;SA31 1TE;102;POINT (240819 220654)
6692173;LLANGUNNOR;669;Carmarthenshire;Primary;Community;SA31 2NN;318;POINT (241584 219353)
6692175;TRIMSARAN;669;Carmarthenshire;Primary;Community;SA17 4BE;194;POINT (245279.89 204505.06)
6692176;SWISS VALLEY;669;Carmarthenshire;Primary;Community;SA14 8DS;244;POINT (252432 202954)
6692177;PARC Y TYWYN;669;Carmarthenshire;Primary;Community;SA16 0AL;267;POINT (245228 200497)
6692178;PEMBREY;669;Carmarthenshire;Primary;Community;SA16 0TP;210;POINT (242967.66 200930.29)
6692179;RHYDAMAN;669;Carmarthenshire;Primary;Community;SA18 2NS;288;POINT (263116 212452)
6692180;BECA;669;Carmarthenshire;Primary;Community;SA66 7UX;46;POINT (213664 225405)
6692181;LLANDYBIE;669;Carmarthenshire;Primary;Community;SA18 3JB;201;POINT (261533 215465)
6692182;HAFODWENOG;669;Carmarthenshire;Primary;Community;SA33 6RU;42;POINT (228155 230452)
6692183;TEILO SANT;669;Carmarthenshire;Primary;Community;SA19 6LU;161;POINT (263128 222842)
6692184;LLANYBYDDER;669;Carmarthenshire;Primary;Community;SA40 9RN;58;POINT (252831 243738)
6692185;LLANDEILO;669;Carmarthenshire;Primary;Community;SA19 6LU;212;POINT (263114 222785)
6692187;CYNWYL ELFED;669;Carmarthenshire;Primary;Community;SA33 6TR;42;POINT (237195 227678)
6692188;HALFWAY;669;Carmarthenshire;Primary;Community;SA14 8SA;221;POINT (252324 200619)
6692189;PWLL;669;Carmarthenshire;Primary;Community;SA15 4AL;73;POINT (247671 201162)
6692190;PENYGAER;669;Carmarthenshire;Primary;Community;SA14 8RS;166;POINT (251682 201038)
6692192;Y CASTELL;669;Carmarthenshire;Primary;Community;SA17 4TR;218;POINT (241305 206862)
6692193;Ysgol Gymraeg Penygroes;669;Carmarthenshire;Primary;Community;SA14 7NT;166;POINT (258773 213346)
6692194;NANTGAREDIG;669;Carmarthenshire;Primary;Community;SA32 7LG;233;POINT (249321 221501)
6692370;GWENLLIAN;669;Carmarthenshire;Primary;Community;SA17 4UT;123;POINT (240551 206619)
6692371;DEWI SANT;669;Carmarthenshire;Primary;Community;SA14 8RS;445;POINT (251728 201070)
6692373;YSGOL GYNRADD PONTYBEREM;669;Carmarthenshire;Primary;Community;SA15 5EB;227;POINT (250024 211172)
6692374;BIGYN;669;Carmarthenshire;Primary;Community;SA15 1DH;183;POINT (251070.78 199832.86)
6692375;STEBONHEATH;669;Carmarthenshire;Primary;Community;SA15 1NB;276;POINT (251553.16 200276.26)
6692379;Y DDWYLAN;669;Carmarthenshire;Primary;Community;SA38 9BA;253;POINT (230544 240673)
6692380;RICHMOND PARK;669;Carmarthenshire;Primary;Community;SA31 1NB;217;POINT (241662 220494)
6692384;GRIFFITH JONES;669;Carmarthenshire;Primary;Community;SA33 4BT;297;POINT (228528 216822)
6692385;YSGOL Y FRO;669;Carmarthenshire;Primary;Community;SA17 5BW;15;POINT (245406 214052)
6692386;CARREG HIRFAEN;669;Carmarthenshire;Primary;Community;SA48 8ET;164;POINT (258847.51 246611.37)
6692387;CAE'R FELIN;669;Carmarthenshire;Primary;Community;SA39 9AA;104;POINT (244705 236226)
6692388;Y BEDOL;669;Carmarthenshire;Primary;Community;SA18 2GB;299;POINT (268743 213547)
6692389;BRO BRYNACH;669;Carmarthenshire;Primary;Community;SA34 0EL;90;POINT (221532.46 223299.05)
6692390;BRYN TEG;669;Carmarthenshire;Primary;Community;SA14 9ET;249;POINT (253695.69 200064.19)
6692391;Y FELIN;669;Carmarthenshire;Primary;Community;SA14 8BE;218;POINT (252185 201782)
6692392;BRO BANW;669;Carmarthenshire;Primary;Community;SA18 2NS;441;POINT (263618 212652)
6692393;MAES Y MORFA;669;Carmarthenshire;Primary;Community;SA15 2AP;188;POINT (251744.76 199064.33)
6692394;BURRY PORT;669;Carmarthenshire;Primary;Community;SA16 0AU;190;POINT (244620 201033)
6692395;PEN RHOS;669;Carmarthenshire;Primary;Community;SA15 2TS;429;POINT (250544.84 199562.57)
6692396;YSGOL GYMRAEG LLANGENNECH;669;Carmarthenshire;Primary;Community;SA14 8YB;407;POINT (256492 202278)
